District,Reg Voters,AMURIAT,KABULETA,KALEMBE,KATUMBA,KYAGULANYI,NOBERT,MAYAMBALA,MUNTU,MWESIGYE,TUMUKUNDE,YOWERI,ValidVotes,InvalidVotes,TotalVotes,Received Station,,Vvotes,Ivotes
082 BUIKWE,235640,1039,219,314,382,81852,388,68,259,152,206,40900,125779,5430,131209,"432/
432",,95.86156437,4.138435626
083 BUYENDE,138849,624,298,516,209,30252,130,64,266,163,393,47916,80831,4134,84965,"281/
281",,95.13446713,4.865532866
084 KYEGEGWA,138528,451,60,103,171,10656,74,25,422,100,338,69129,81529,3040,84569,"255/
255",,96.40530218,3.594697821
085 LAMWO,65223,1183,545,679,220,8621,1981,185,403,250,452,19322,33841,2837,36678,"169/
171",,92.26511805,7.734881946
086 OTUKE,48541,502,195,124,143,4949,175,63,165,73,225,25464,32078,1941,34019,"130/
130",,94.29436491,5.705635086
087 ZOMBO,123432,1260,421,434,310,9111,1176,207,498,305,606,45578,59906,4685,64591,"220/
220",,92.74666749,7.253332508
088 ALEBTONG,115804,1920,604,425,297,16794,446,419,634,389,860,42832,65620,3207,68827,"248/
248",,95.34049138,4.659508623
089 BULAMBULI,71664,700,65,132,43,10788,57,16,57,87,104,38972,51021,1539,52560,"245/
245",,97.07191781,2.928082192
090 BUVUMA,42415,208,25,106,68,13572,98,14,62,43,47,6814,21057,848,21905,"108/
108",,96.12873773,3.871262269
091 GOMBA,81314,71,33,43,71,29017,50,16,76,46,89,24568,54080,1564,55644,"207/
208",,97.18927467,2.810725325
092 KIRYANDONGO,125685,894,492,175,150,13893,527,67,258,204,288,38083,55031,4662,59693,"244/
244",,92.19003903,7.809960967
093 KYANKWANZI,108311,163,77,94,112,24529,74,21,134,138,155,39859,65356,2509,67865,"255/
255",,96.30295439,3.697045605
094 LUUKA,116094,361,73,487,107,31842,107,34,137,82,183,27520,60933,2450,63383,"227/
227",,96.13461023,3.865389773
095 NAMAYINGO,107234,1011,281,404,178,27651,129,165,227,253,242,27341,57882,3110,60992,"216/
216",,94.90097062,5.099029381
096 NTOROKO,38098,89,61,68,47,4212,28,11,187,50,103,19670,24526,756,25282,"85/
85",,97.00973024,2.990269757
097 SERERE,130290,26722,1200,414,232,6013,251,123,617,378,771,38555,75276,3876,79152,"240/
240",,95.10309278,4.896907216
098 BUKOMANSIMBI,76557,118,30,42,92,32155,106,18,52,34,88,13649,46384,1207,47591,"147/
151",,97.46380618,2.536193818
099 BUTAMBALA,55813,83,22,45,59,26806,47,16,49,38,43,9379,36587,1135,37722,"123/
123",,96.99114575,3.00885425
100 KALUNGU,88687,119,33,51,81,38352,120,25,97,41,94,16377,55390,1387,56777,"188/
188",,97.55710939,2.442890607
101 SHEEMA,129151,2409,343,334,866,8851,119,53,1646,138,349,65220,80328,2201,82529,"251/
251",,97.33305868,2.666941318
102 KIBUKU,91971,549,66,169,102,23624,79,45,188,131,215,34078,59246,1414,60660,"194/
194",,97.66897461,2.331025387
103 KOLE,119437,938,510,373,371,15937,468,141,447,274,619,46900,66978,3197,70175,"224/
225",,95.44424653,4.555753473
104 KWEEN,47080,662,46,112,47,4005,133,28,49,30,105,27467,32684,1038,33722,"152/
152",,96.92189075,3.078109246
105 LWENGO,139772,287,132,132,182,47742,121,32,155,64,160,36411,85418,2687,88105,"270/
270",,96.95022984,3.049770161
106 MITOOMA,111839,1827,129,220,466,6561,101,37,1356,67,388,54935,66087,1711,67798,"259/
259",,97.47632674,2.523673265
